Month & Year,Wagon Placement,Opening Balance,Available Warehouse capacity,Available Manpower,Demurrage Hours,Number of wagons placed,Day of Arrival,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Working/Non-working (Yes/No),Working,Arrival time of wagons
Sep_17,97,31166.348,4969.652,84,46,29,Sun,1,0,0,0,0,0,0,No,0,6.333333333
,98,31311.416,4824.584,84,0,21,Thu,0,0,0,0,1,0,0,Yes,1,12
,99,30115.122,6020.878,84,9,28,Tue,0,0,1,0,0,0,0,Yes,1,14.41666667
,100,30115.122,6020.878,84,0,21,Sat,0,0,0,0,0,0,1,No,0,7.5
Oct_17,101,29817.51,6318.49,84,0,21,Wed,0,0,0,1,0,0,0,Yes,1,6
,102,25918.374,10217.626,84,0,21,Wed,0,0,0,1,0,0,0,Yes,1,12.5
,103,25918.374,10217.626,84,0,29,Tue,0,0,1,0,0,0,0,Yes,1,7.25
,104,25918.374,10217.626,84,0,28,Mon,0,1,0,0,0,0,0,Yes,1,7.5
Nov_17,105,28214.46,7921.54,84,0,21,Thu,0,0,0,0,1,0,0,Yes,1,17.5
,106,28214.46,7921.54,84,0,21,Tue,0,0,1,0,0,0,0,Yes,1,7.5
,107,29390.213,6745.787,84,0,29,Fri,0,0,0,0,0,1,0,Yes,1,9.25
,108,28895.905,7240.095,84,0,21,Sat,0,0,0,0,0,0,1,No,0,13.66666667
,109,26085.75,10050.25,84,0,21,Fri,0,0,0,0,0,1,0,Yes,1,8.583333333
Dec_17,110,25008.8,11127.2,84,0,21,Sat,0,0,0,0,0,0,1,No,0,6
,111,25763.256,10372.744,84,0,28,Mon,0,1,0,0,0,0,0,Yes,1,6
,112,25571.129,10564.871,84,0,30,Tue,0,0,1,0,0,0,0,Yes,1,6
,113,25763.256,10372.744,84,0,29,Fri,0,0,0,0,0,1,0,Yes,1,21.75
,114,25571.129,10564.871,84,0,29,Thu,0,0,0,0,1,0,0,Yes,1,6
,115,26899.583,9236.417,84,0,21,Sat,0,0,0,0,0,0,1,No,0,6
